,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date
2229,Changi,2020,2,8,0,0,0,0,27.7,31.4,24.7,9.7,30.2,2020/2/8
2230,Changi,2020,2,9,14.6,4.8,5.2,8.6,26.2,29.8,23.7,7.2,34.6,2020/2/9
2231,Changi,2020,2,10,0,0,0,0,27,30.9,24.2,9.4,29.5,2020/2/10
2232,Changi,2020,2,11,23.8,20.4,20.8,20.8,26.9,30.4,24.6,7.6,33.1,2020/2/11
2233,Changi,2020,2,12,0,0,0,0,27.9,31.9,25.4,10.4,28.8,2020/2/12
2234,Changi,2020,2,13,0,0,0,0,28.4,32.2,26.1,13.7,35.3,2020/2/13
2235,Changi,2020,2,14,0,0,0,0,28.4,31.9,26.1,13.3,31.7,2020/2/14
2236,Changi,2020,2,15,0,0,0,0,28.3,32.7,25.1,8.6,23.4,2020/2/15
2237,Changi,2020,2,16,0,0,0,0,28.2,32.8,25.9,8.6,29.9,2020/2/16
2238,Changi,2020,2,17,0,0,0,0,28.6,33.1,25.9,13,36.4,2020/2/17
2239,Changi,2020,2,18,1.6,1.4,1.4,1.4,26.8,30.7,24.3,10.4,39.2,2020/2/18
2240,Changi,2020,2,19,0.6,0.6,0.6,0.6,28.1,31.9,26,15.5,38.5,2020/2/19
2241,Changi,2020,2,20,3.6,3.2,3.2,3.4,27.8,32,24.9,14,41,2020/2/20
2242,Changi,2020,2,21,15.8,5,6,7.6,27.2,30.5,24.1,13.3,42.8,2020/2/21
2243,Changi,2020,2,22,0.4,0.2,0.4,0.4,28.2,31.7,25.8,16.6,46.4,2020/2/22
2244,Changi,2020,2,23,0,0,0,0,28.1,31.7,24.7,17.3,43.9,2020/2/23
2245,Changi,2020,2,24,4.6,3.2,3.2,4,27,30.6,25.1,14,45.7,2020/2/24
2246,Changi,2020,2,25,0,0,0,0,28.2,31.9,25.7,14,36.7,2020/2/25
2247,Changi,2020,2,26,0,0,0,0,28.4,32.2,25.7,14.4,37.8,2020/2/26
2248,Changi,2020,2,27,0,0,0,0,28.3,32.5,25.7,13,33.5,2020/2/27
2249,Changi,2020,2,28,0,0,0,0,28.4,32.3,26.3,15.1,35.3,2020/2/28
2250,Changi,2020,2,29,0,0,0,0,28.2,31.8,25.7,14.4,39.2,2020/2/29
2251,Changi,2020,3,1,0,0,0,0,28.1,32.7,25.2,12.6,37.4,2020/3/1
2252,Changi,2020,3,2,0,0,0,0,28.3,32.7,24.8,11.5,34.9,2020/3/2
2253,Changi,2020,3,3,0,0,0,0,28.5,32.8,25.8,13,34.9,2020/3/3
2254,Changi,2020,3,4,0,0,0,0,28.9,33.4,26.2,12.6,33.8,2020/3/4
2255,Changi,2020,3,5,0,0,0,0,28.2,30.9,26.8,10.8,34.9,2020/3/5
2256,Changi,2020,3,6,0,0,0,0,28.2,31.3,26.1,7.9,24.5,2020/3/6
2257,Changi,2020,3,7,27.6,25.6,27,27.6,28,33.9,24.3,8.3,36.7,2020/3/7
2258,Changi,2020,3,8,12.4,8.8,11.8,12.4,27.8,33.1,25.4,6.5,27.4,2020/3/8
2259,Changi,2020,3,9,0,0,0,0,28.4,32.9,25.2,8.3,26.6,2020/3/9
2260,Changi,2020,3,10,0,0,0,0,28.9,33.1,26.3,10.4,31.3,2020/3/10
2261,Changi,2020,3,11,0,0,0,0,29.1,33.8,26.7,10.1,28.1,2020/3/11
2262,Changi,2020,3,12,0,0,0,0,28.9,32.8,25.8,12.2,39.6,2020/3/12
2263,Changi,2020,3,13,0,0,0,0,29.3,34,26.1,10.1,27.4,2020/3/13
2264,Changi,2020,3,14,0,0,0,0,29.1,33,26.8,12.6,29.5,2020/3/14
2265,Changi,2020,3,15,0,0,0,0,29.3,33.5,27.1,13.3,32.4,2020/3/15
2266,Changi,2020,3,16,0.4,0.4,0.4,0.4,29,33,26.9,15.5,38.5,2020/3/16
2267,Changi,2020,3,17,0,0,0,0,28.8,32.9,26.2,13,37.8,2020/3/17
2268,Changi,2020,3,18,0,0,0,0,29,33.7,26.1,13,36.4,2020/3/18
2269,Changi,2020,3,19,0,0,0,0,28.6,32.9,25.8,10.1,28.8,2020/3/19
2270,Changi,2020,3,20,0.2,0.2,0.2,0.2,28.3,32.2,26,10.4,30.6,2020/3/20
2271,Changi,2020,3,21,47.4,22.4,34.8,46,27.6,31.2,24.4,9.7,44.6,2020/3/21
2272,Changi,2020,3,22,0.8,0.8,0.8,0.8,28,32.5,26.3,7.6,29.9,2020/3/22
2273,Changi,2020,3,23,19.8,16.6,18,19.8,26.6,30.2,24.1,6.1,33.1,2020/3/23
2274,Changi,2020,3,24,0.2,0.2,0.2,0.2,28.1,32.3,24.9,10.8,37.1,2020/3/24
2275,Changi,2020,3,25,0,0,0,0,28.6,33.1,25.7,9.7,28.4,2020/3/25
2276,Changi,2020,3,26,0,0,0,0,29.3,33.4,26.4,10.8,29.9,2020/3/26
2277,Changi,2020,3,27,0,0,0,0,29.3,33.6,26.4,10.1,32.8,2020/3/27
2278,Changi,2020,3,28,0,0,0,0,29.2,33.5,26.2,10.1,28.1,2020/3/28
2279,Changi,2020,3,29,0,0,0,0,29.1,32.9,26.7,12.2,32,2020/3/29
2280,Changi,2020,3,30,0,0,0,0,29.1,33.8,26.1,10.1,26.3,2020/3/30
2281,Changi,2020,3,31,0,0,0,0,29.5,33.9,27,11.2,32.8,2020/3/31
2282,Changi,2020,4,1,0,0,0,0,29.3,32.7,26.4,9.9,,2020/4/1
2283,Changi,2020,4,2,29.6,24,29.2,29.6,28.8,34.6,25.1,9.1,38.9,2020/4/2
2284,Changi,2020,4,3,27.4,21.2,26.6,27,28.5,32.8,24,9.5,37,2020/4/3
2285,Changi,2020,4,4,0,0,0,0,29.5,34,26.7,10.3,31.5,2020/4/4
2286,Changi,2020,4,5,0,0,0,0,29.2,33.1,26.7,8.3,42.6,2020/4/5
2287,Changi,2020,4,6,0,0,0,0,28.6,31,26.6,7.3,24.1,2020/4/6
2288,Changi,2020,4,7,10.8,2.6,4.4,7.4,27.9,32.6,23.8,7.3,25.9,2020/4/7
2289,Changi,2020,4,8,16.8,14.2,16.8,16.8,28.1,33.1,23.8,7.9,37,2020/4/8
2290,Changi,2020,4,9,0,0,0,0,28.8,33.2,25.7,10,29.6,2020/4/9
2291,Changi,2020,4,10,0,0,0,0,28.8,32.7,25.5,9.4,29.6,2020/4/10
2292,Changi,2020,4,11,0,0,0,0,28.8,32,26.8,8.2,29.6,2020/4/11
2293,Changi,2020,4,12,0,0,0,0,28.7,32.9,26.6,7.9,31.5,2020/4/12
2294,Changi,2020,4,13,0,0,0,0,29.5,33.7,27.1,8.4,,2020/4/13
2295,Changi,2020,4,14,0,0,0,0,29.6,33.2,27.4,11.8,37,2020/4/14
2296,Changi,2020,4,15,0,0,0,0,29.6,33.7,26.7,9.9,31.5,2020/4/15
2297,Changi,2020,4,16,0,0,0,0,29.5,33.7,26.8,10.8,29.6,2020/4/16
2298,Changi,2020,4,17,0,0,0,0,29.4,33,26.6,8.9,29.6,2020/4/17
2299,Changi,2020,4,18,0,0,0,0,29.5,33.6,26.4,9,29.6,2020/4/18
2300,Changi,2020,4,19,0,0,0,0,30,33.9,26.9,11.3,35.2,2020/4/19
2301,Changi,2020,4,20,0,0,0,0,30.2,34.3,27.4,12,31.5,2020/4/20
2302,Changi,2020,4,21,0.8,0.4,0.4,0.4,29.5,33.5,27.4,7.6,25.9,2020/4/21
2303,Changi,2020,4,22,0,0.4,0.4,0.4,30,34.3,27.5,10.2,31.5,2020/4/22
2304,Changi,2020,4,23,0,0,0,0,28.9,32.9,26.9,6.3,33.3,2020/4/23
2305,Changi,2020,4,24,3.4,1.6,2.4,3.4,28,34.1,25.2,7.3,33.3,2020/4/24
2306,Changi,2020,4,25,2.4,1.6,2.2,2.4,27.8,33,25.1,6.1,31.5,2020/4/25
2307,Changi,2020,4,26,4.4,3.4,4,4,27.6,31.8,26.3,4.5,18.5,2020/4/26
2308,Changi,2020,4,27,1.6,1,1.4,1.6,27.5,30.9,25.6,5.7,33.3,2020/4/27
2309,Changi,2020,4,28,27.6,23.6,27.6,27.6,28.2,33.1,24.5,5.1,35.2,2020/4/28
2310,Changi,2020,4,29,11.4,9,9,11.4,28.4,31.9,24.7,7.3,29.6,2020/4/29
2311,Changi,2020,4,30,51.8,13.4,24.2,29.6,27.3,31.9,24.9,5.6,29.6,2020/4/30
2312,Changi,2020,5,1,22.4,13.4,22.6,28.8,26.5,31.3,24.4,6.3,29.6,2020/5/1
2313,Changi,2020,5,2,0,0,0,0,28.2,32.9,25.6,5.3,27.8,2020/5/2
2314,Changi,2020,5,3,1,0.2,0.4,0.6,28.5,32,26.2,5.5,18.5,2020/5/3
2315,Changi,2020,5,4,5.2,4.8,5,5,27.8,30.4,26.3,5,22.2,2020/5/4
2316,Changi,2020,5,5,31,30.2,31,31,28.1,34.5,24.6,5.9,35.2,2020/5/5
2317,Changi,2020,5,6,15.2,9,13.6,15.2,28.1,30.8,23.6,5.9,42.6,2020/5/6
2318,Changi,2020,5,7,0,0,0,0,29.6,33.4,27,5.9,25.9,2020/5/7
2319,Changi,2020,5,8,53.8,29.6,47,53.8,29.1,33.9,23.7,7.9,31.5,2020/5/8
2320,Changi,2020,5,9,0,0,0,0,30.4,33.6,28.3,9.3,24.1,2020/5/9
2321,Changi,2020,5,10,0,0,0,0,29.9,31.9,28.6,14.7,38.9,2020/5/10
2322,Changi,2020,5,11,23,15.6,22.4,22.8,29.3,31.9,24.6,11.7,35.2,2020/5/11
2323,Changi,2020,5,12,0,0,0,0,29.7,32.4,28.2,12,31.5,2020/5/12
2324,Changi,2020,5,13,19.2,12,19,19.2,27.9,29.8,24.7,5.9,35.2,2020/5/13
2325,Changi,2020,5,14,0,0,0,0,28.9,32.8,25.7,7.6,46.3,2020/5/14
2326,Changi,2020,5,15,0,0,0,0,29.7,32.6,27.1,9.6,29.6,2020/5/15
2327,Changi,2020,5,16,0,0,0,0,29.9,32.6,27.9,11.5,35.2,2020/5/16
2328,Changi,2020,5,17,29.8,20.8,21.4,21.4,28.5,31,25,5.6,38.9,2020/5/17
2329,Changi,2020,5,18,0.2,0.4,2.2,3.8,29,31.9,25.9,6.6,29.6,2020/5/18
2330,Changi,2020,5,19,4,4,4,4,29.8,32.8,27.9,7.3,24.1,2020/5/19
2331,Changi,2020,5,20,16.2,14.8,16.2,16.2,28.8,31.3,24.9,7.4,29.6,2020/5/20
2332,Changi,2020,5,21,0,0,0,0,29.3,34,26.7,5.1,25.9,2020/5/21
2333,Changi,2020,5,22,4.6,2.6,3,3.6,28.1,31.3,25.6,5.8,33.3,2020/5/22
2334,Changi,2020,5,23,6.8,6,6.2,6.4,27.8,30.3,25.4,4.6,22.2,2020/5/23
2335,Changi,2020,5,24,0,0,0,0,29.2,32.1,26.6,6.4,24.1,2020/5/24
2336,Changi,2020,5,25,0,0,0,0,30.1,33.3,27.3,8.7,37,2020/5/25
2337,Changi,2020,5,26,2,0.8,1.6,2,29.9,33.5,23.8,5.6,35.2,2020/5/26
2338,Changi,2020,5,27,21.2,12.2,14,19,27.7,30.2,24,6.6,25.9,2020/5/27
2339,Changi,2020,5,28,0,0,0,0,29.4,32.5,27.2,10,35.2,2020/5/28
2340,Changi,2020,5,29,0,0,0,0,29.4,32.6,28,7.6,24.1,2020/5/29
2341,Changi,2020,5,30,0,0,0,0,28.9,32.9,27,6.4,29.6,2020/5/30
2342,Changi,2020,5,31,0,0,0,0,28.8,32.3,26.7,5.8,33.3,2020/5/31
2343,Changi,2020,6,1,32.4,20.2,,,26.6,29.5,24.7,5.9,31.5,2020/6/1
2344,Changi,2020,6,2,0.2,0.2,,,28.5,33,25.3,5.9,33.3,2020/6/2
2345,Changi,2020,6,3,16.6,10.6,12.2,15.2,28.7,31.7,24,8.6,33.3,2020/6/3
2346,Changi,2020,6,4,6,3.2,5,5.8,28.3,32.9,24.9,8.1,33.3,2020/6/4
2347,Changi,2020,6,5,41,,,,27.6,31.1,24.1,7.6,33.3,2020/6/5
2348,Changi,2020,6,6,4.2,,,,27.6,29.1,25,6.3,33.3,2020/6/6
2349,Changi,2020,6,7,0,0,0,0,29.5,32.8,27.6,7.2,35.2,2020/6/7
2350,Changi,2020,6,8,8.6,7,7,7,28.8,32.9,25,6.5,33.3,2020/6/8
2351,Changi,2020,6,9,0,0,0,0,29.7,32.6,27,12.3,33.3,2020/6/9
2352,Changi,2020,6,10,13.4,11,12.6,13.4,29.4,32.4,24.2,14.4,50,2020/6/10
2353,Changi,2020,6,11,0,0,0,0,28.8,33,25.7,8,27.8,2020/6/11
2354,Changi,2020,6,12,0,0,0,0,29.1,31.6,27.2,,25.9,2020/6/12
2355,Changi,2020,6,13,8.6,2.4,4.2,6.2,26.2,27.7,25,6.4,25.9,2020/6/13
2356,Changi,2020,6,14,1.4,1.4,1.4,1.4,28.1,32.1,25.3,6.6,42.6,2020/6/14
2357,Changi,2020,6,15,0,0,0,0,29.7,32.3,27.5,10.8,35.2,2020/6/15
2358,Changi,2020,6,16,0.8,0.4,0.6,0.6,28.4,31.2,26.7,6.6,25.9,2020/6/16
2359,Changi,2020,6,17,5.4,3,4,4.2,27.1,29.6,25.5,5,27.8,2020/6/17
2360,Changi,2020,6,18,8.2,5.8,7,7.2,27.5,30.6,25.2,5,22.2,2020/6/18
2361,Changi,2020,6,19,2.4,1,1.6,2.4,27.7,31.6,25.2,5.9,31.5,2020/6/19
2362,Changi,2020,6,20,29.8,11,16.6,21.6,26.5,29,23.7,5.9,37,2020/6/20
2363,Changi,2020,6,21,2,0.8,0.8,1.6,26.6,27.8,24.9,4.4,24.1,2020/6/21
2364,Changi,2020,6,22,10.2,3.8,6.2,8.2,26.9,29.8,23.9,5.9,37,2020/6/22
2365,Changi,2020,6,23,30.2,9.2,11.4,14.4,26.4,27.5,23.7,7.5,29.6,2020/6/23
2366,Changi,2020,6,24,3.2,1.6,1.8,2.4,26.7,27.8,25.2,9.2,31.5,2020/6/24
2367,Changi,2020,6,25,0,0,0,0,28.1,31.4,25.7,9.3,27.8,2020/6/25
2368,Changi,2020,6,26,0,0,0,0,28.6,32,26.4,8.1,38.9,2020/6/26
2369,Changi,2020,6,27,0,0,0,0,29.3,31.8,28.1,13.4,35.2,2020/6/27
2370,Changi,2020,6,28,0.8,0.8,0.8,0.8,29.2,31.6,26.8,12.5,42.6,2020/6/28
2371,Changi,2020,6,29,8.4,7.4,7.6,7.6,28.9,31.3,26.4,11.9,33.3,2020/6/29
2372,Changi,2020,6,30,0,0,0,0,29,32.1,26.3,12,35.2,2020/6/30
2373,Changi,2020,7,1,0,0,0,0,28.8,31.6,27.3,10,29.6,2020/7/1
2374,Changi,2020,7,2,0,0,0,0,28.9,31.7,27.3,12.3,33.3,2020/7/2
2375,Changi,2020,7,3,0,0,0,0,29.6,32.4,27.8,13.4,33.3,2020/7/3
2376,Changi,2020,7,4,2,2,2,2,28.8,32.2,24.6,12.8,33.3,2020/7/4
2377,Changi,2020,7,5,0,0,0,0,27.9,32,25.8,7.6,31.5,2020/7/5
2378,Changi,2020,7,6,0.2,0.2,0.2,0.2,29,32.1,27,14,37,2020/7/6
2379,Changi,2020,7,7,0.4,0.2,0.2,0.2,27.9,31.2,26.1,6.1,31.5,2020/7/7
2380,Changi,2020,7,8,18.8,14.2,18.2,18.8,27.1,30.7,24.5,4.5,31.5,2020/7/8
2381,Changi,2020,7,9,1.6,0.6,1,1,26.3,28.2,24.9,8,33.3,2020/7/9
2382,Changi,2020,7,10,0.4,0.4,0.4,0.4,27.2,29.8,25.1,6.9,22.2,2020/7/10
2383,Changi,2020,7,11,1.6,1,1,1.4,27.4,29.9,25.5,6.3,29.6,2020/7/11
2384,Changi,2020,7,12,0.2,0.2,0.2,0.2,28.7,31.2,25.9,8,35.2,2020/7/12
2385,Changi,2020,7,13,10.2,4,4,5.2,26.2,30.5,24.9,7.3,31.5,2020/7/13
2386,Changi,2020,7,14,0,0,0,0,27.1,28.5,25.8,7.4,29.6,2020/7/14
2387,Changi,2020,7,15,3,2.4,2.6,3,27.6,30.8,26.3,6.6,24.1,2020/7/15
2388,Changi,2020,7,16,3.8,,,,28.2,32.2,25.6,7.7,35.2,2020/7/16
2389,Changi,2020,7,17,0,0,0,0,28.8,32,25.9,7.3,25.9,2020/7/17
2390,Changi,2020,7,18,0.2,0.2,0.2,0.2,27.8,31,26.5,7.9,31.5,2020/7/18
2391,Changi,2020,7,19,0,0,0,0,28.5,31.6,25.6,9,31.5,2020/7/19
2392,Changi,2020,7,20,0,0,0,0,29.1,32.1,26.5,12.7,33.3,2020/7/20
2393,Changi,2020,7,21,0,0,0,0,28.9,32.5,27,10.6,33.3,2020/7/21
2394,Changi,2020,7,22,30.4,24,30.4,30.4,28,30.3,24.2,5.8,22.2,2020/7/22
2395,Changi,2020,7,23,3.8,1.6,2.4,3.6,27.8,30.8,23.7,6.3,35.2,2020/7/23
2396,Changi,2020,7,24,7.2,6.6,6.6,7,27.8,30.6,24.3,8.2,33.3,2020/7/24
2397,Changi,2020,7,25,11.6,11.2,11.2,11.2,27.2,31.3,24.6,8.5,53.7,2020/7/25
2398,Changi,2020,7,26,1.6,1.4,1.6,1.6,27.7,31.1,25.6,12.1,53.7,2020/7/26
2399,Changi,2020,7,27,22.2,11.4,11.4,19.6,27.3,30.1,23.9,9.1,42.6,2020/7/27
2400,Changi,2020,7,28,2.4,2.2,2.2,2.2,28.1,30.3,25.8,8.8,33.3,2020/7/28
2401,Changi,2020,7,29,16.8,10.8,13.2,14,26.2,29.2,23.9,4.1,31.5,2020/7/29
2402,Changi,2020,7,30,0.6,0.4,0.4,0.6,28.2,31.6,25.3,7.9,,2020/7/30
2403,Changi,2020,7,31,1.8,1.8,1.8,1.8,28.4,30.9,24.8,9.8,31.5,2020/7/31
2404,Changi,2020,8,1,0,0,0,0,28.5,30.4,26,12.3,40.7,2020/8/1
2405,Changi,2020,8,2,0,0,0,0,28.9,31.7,26.9,10.3,31.5,2020/8/2
2406,Changi,2020,8,3,0,0,0,0,29.2,31.7,27.2,12,31.5,2020/8/3
2407,Changi,2020,8,4,4.8,4.6,4.8,4.8,27.9,30.2,24.1,8.8,44.4,2020/8/4
2408,Changi,2020,8,5,0,0,0,0,28.8,31.8,26.7,8.6,25.9,2020/8/5
2409,Changi,2020,8,6,0,0,0,0,29.2,31.4,27.6,8.1,27.8,2020/8/6
2410,Changi,2020,8,7,0,0,0,0,29.4,32.7,27.3,11.4,29.6,2020/8/7
2411,Changi,2020,8,8,0,0,0,0,29.7,32.9,27.6,11,27.8,2020/8/8
2412,Changi,2020,8,9,0,0,0,0,29.6,32.8,27.7,12.3,31.5,2020/8/9
2413,Changi,2020,8,10,0,0,0,0,29.7,33,27.8,12.9,33.3,2020/8/10
2414,Changi,2020,8,11,0,0,0,0,29.5,32.7,28.2,11,31.5,2020/8/11
2415,Changi,2020,8,12,0,0,0,0,27.9,30,26.8,8.7,31.5,2020/8/12
2416,Changi,2020,8,13,34.6,22.2,30.8,33.4,28.3,32.2,22.5,6.4,40.7,2020/8/13
2417,Changi,2020,8,14,13.8,7.2,12.2,12.6,25.9,28.5,23.4,5.1,35.2,2020/8/14
2418,Changi,2020,8,15,0,0,0,0,28,31.5,24.6,6.5,25.9,2020/8/15
2419,Changi,2020,8,16,0,0,0,0,28,30,26.4,8,27.8,2020/8/16
2420,Changi,2020,8,17,5.2,4,4.6,4.6,27.4,31.4,24.3,6.2,29.6,2020/8/17
2421,Changi,2020,8,18,2,1,1,2,27.1,30.1,25.3,6.4,48.2,2020/8/18
2422,Changi,2020,8,19,1.8,1.4,1.6,1.8,28,31.3,25.4,5.7,25.9,2020/8/19
2423,Changi,2020,8,20,2.2,2,2,2,28.1,31.9,25.5,10.6,37,2020/8/20
2424,Changi,2020,8,21,0,0,0,0,29.6,33,27.7,15.2,31.5,2020/8/21
2425,Changi,2020,8,22,2,1.4,1.6,1.6,27.9,32.1,25.3,9.3,38.9,2020/8/22
2426,Changi,2020,8,23,24.4,8.2,11.2,15.2,25.6,27,23,5.1,48.2,2020/8/23
2427,Changi,2020,8,24,0,0.2,0.2,0.2,28.1,32.4,24.5,9,33.3,2020/8/24
2428,Changi,2020,8,25,0,0,0,0,27.9,31.9,25.7,8.6,44.4,2020/8/25
2429,Changi,2020,8,26,4.6,4.4,4.6,4.6,27,31.3,24,9.6,51.9,2020/8/26
2430,Changi,2020,8,27,1.4,1.4,1.4,1.4,27.8,30.4,25.6,8.4,27.8,2020/8/27
2431,Changi,2020,8,28,0,0,0,0,28.9,32.3,26.2,9.6,33.3,2020/8/28
2432,Changi,2020,8,29,6.6,2.8,3.4,4.8,27.2,30.8,25.1,8,,2020/8/29
2433,Changi,2020,8,30,0,0,0,0,28.6,32.1,26.4,11.2,35.2,2020/8/30
2434,Changi,2020,8,31,0,0,0,0,29,32.2,27.2,11.7,29.6,2020/8/31
2435,Changi,2020,9,1,1.2,1.2,1.2,1.2,28.3,31.7,25.4,10,40.7,2020/9/1
2436,Changi,2020,9,2,0.2,0.2,0.2,0.2,28.6,31.5,27.3,10.1,29.6,2020/9/2
2437,Changi,2020,9,3,0.8,0.6,0.6,0.6,27.6,30.7,26.5,5.9,24.1,2020/9/3
2438,Changi,2020,9,4,0,0,0,0,27.6,31.9,25.7,7.2,29.6,2020/9/4
2439,Changi,2020,9,5,32.8,9.8,14,18.4,25.5,26.3,23.4,5.6,27.8,2020/9/5
2440,Changi,2020,9,6,25.6,22.4,24.6,25.6,26.5,31.4,22.8,5.6,40.7,2020/9/6
2441,Changi,2020,9,7,0,0,0,0,28.1,31.7,25.4,9.6,35.2,2020/9/7
2442,Changi,2020,9,8,0,0,0,0,28.4,32,26.7,11.3,42.6,2020/9/8
2443,Changi,2020,9,9,0,0,0,0,28.5,32.2,26.6,7.6,31.5,2020/9/9
2444,Changi,2020,9,10,0.8,0.4,0.4,0.4,28,30.7,25.3,7.3,29.6,2020/9/10
2445,Changi,2020,9,11,3.2,0.8,1.2,1.6,27.5,32.2,24.6,7.6,29.6,2020/9/11
2446,Changi,2020,9,12,7.4,3,3.2,4.2,26.3,30.6,24.1,5.6,38.9,2020/9/12
2447,Changi,2020,9,13,17,4.2,6.6,10.4,25,27.6,22.7,6.9,57.4,2020/9/13
2448,Changi,2020,9,14,11.4,5.6,9.6,10.4,25.6,29.1,24,7.6,44.4,2020/9/14
2449,Changi,2020,9,15,0,0,0,0,27.7,31.3,24.8,7.2,29.6,2020/9/15
2450,Changi,2020,9,16,9.6,4.8,7.2,9,26.7,30.1,21.9,9.3,46.3,2020/9/16
2451,Changi,2020,9,17,0,0,0,0,28,33.2,25.6,9.2,44.4,2020/9/17
2452,Changi,2020,9,18,0,0,0,0,29,32.5,26.5,11.5,33.3,2020/9/18
2453,Changi,2020,9,19,0,0,0,0,28.6,32.4,24.7,8.5,33.3,2020/9/19
2454,Changi,2020,9,20,2.6,2.6,2.6,2.6,28.7,31.3,24.9,9.3,27.8,2020/9/20
2455,Changi,2020,9,21,4.6,2.2,2.6,3.2,26.3,29,25.2,5.9,27.8,2020/9/21
2456,Changi,2020,9,22,0,0.2,0.2,0.2,27.6,31.7,25.2,6.9,27.8,2020/9/22
2457,Changi,2020,9,23,0,0,0,0,28.6,32.9,25.7,8,42.6,2020/9/23
2458,Changi,2020,9,24,0.2,0.2,0.2,0.2,28.4,31.5,25.2,7.8,31.5,2020/9/24
2459,Changi,2020,9,25,0.8,0.6,0.6,0.6,28.4,32.8,23.9,7.9,55.6,2020/9/25
2460,Changi,2020,9,26,25.2,9,10.4,13,26.2,28.8,23.6,7.2,29.6,2020/9/26
2461,Changi,2020,9,27,4.2,1.4,2.4,3.8,26.7,29.3,23.6,6.6,24.1,2020/9/27
2462,Changi,2020,9,28,0,0,0,0,28.3,31.7,26.9,7.6,37,2020/9/28
2463,Changi,2020,9,29,2.6,1.8,2,2,27.2,29.3,24.4,8.6,44.4,2020/9/29
2464,Changi,2020,9,30,0,0,0,0,28.1,32.6,25.3,9,37,2020/9/30
2465,Changi,2020,10,1,0.6,0.6,0.6,0.6,27.1,30.9,26,5.6,27.8,2020/10/1
2466,Changi,2020,10,2,0,0,0,0,27.8,31.7,25,6.6,31.5,2020/10/2
2467,Changi,2020,10,3,4.2,2.4,2.6,4,27.8,32,24.6,10.3,33.3,2020/10/3
2468,Changi,2020,10,4,0,0,0,0,28.6,30.9,27.2,5.3,22.2,2020/10/4
2469,Changi,2020,10,5,0,0,0,0,29,32.3,26.6,6,24.1,2020/10/5
2470,Changi,2020,10,6,0,0,0,0,28.6,31.9,26.7,7.9,27.8,2020/10/6
2471,Changi,2020,10,7,3.8,2.4,3.2,3.8,28.7,32.9,25,7.5,31.5,2020/10/7
2472,Changi,2020,10,8,4.2,1.8,2.6,3.4,27.9,33.2,25.5,8.4,35.2,2020/10/8
2473,Changi,2020,10,9,0,0,0,0,27.9,29.7,26.5,6.6,24.1,2020/10/9
2474,Changi,2020,10,10,19,16.2,18,18.8,27.5,29.1,23.2,5.6,42.6,2020/10/10
2475,Changi,2020,10,11,0,0,0,0,27.8,31,25.4,8.5,33.3,2020/10/11
2476,Changi,2020,10,12,0,0,0,0,28.5,30.8,27.1,12.9,37,2020/10/12
2477,Changi,2020,10,13,0,0,0,0,29,31.6,26.8,6.2,27.8,2020/10/13
2478,Changi,2020,10,14,2.6,2.6,2.6,2.6,28.9,31.3,25.4,7.6,35.2,2020/10/14
2479,Changi,2020,10,15,2,1,1.2,2,28.4,32.2,25,8.4,31.5,2020/10/15
2480,Changi,2020,10,16,0.6,0.4,0.4,0.4,29,32.7,25,8.4,35.2,2020/10/16
2481,Changi,2020,10,17,0,0,0,0,29.7,33.6,27.5,9.4,33.3,2020/10/17
2482,Changi,2020,10,18,1.2,0.6,0.6,1.2,28.2,30.6,24.6,9.5,42.6,2020/10/18
2483,Changi,2020,10,19,0,0,0,0,28.8,31.8,26.6,7.2,25.9,2020/10/19
2484,Changi,2020,10,20,0,0,0,0,27.9,30.2,26,6.5,25.9,2020/10/20
2485,Changi,2020,10,21,4.4,2.4,2.4,2.4,28.5,33.5,25.1,6.9,25.9,2020/10/21
2486,Changi,2020,10,22,3,1,1.8,2.6,27.7,31.6,24.8,9.1,37,2020/10/22
2487,Changi,2020,10,23,0,0,0,0,28.7,31.5,27.1,5.5,18.5,2020/10/23
2488,Changi,2020,10,24,0.4,0.4,0.4,0.4,27.8,29.6,26.4,5.6,18.5,2020/10/24
2489,Changi,2020,10,25,14,10.2,11.6,12.8,28.4,33.7,22.2,6.1,44.4,2020/10/25
2490,Changi,2020,10,26,1.2,0.6,0.6,0.8,27.1,28.9,24.6,4.4,29.6,2020/10/26
2491,Changi,2020,10,27,0,0,0,0,29.6,34.1,26.4,5.4,31.5,2020/10/27
2492,Changi,2020,10,28,8,7.8,7.8,7.8,27.7,29,25.3,4.8,20.4,2020/10/28
2493,Changi,2020,10,29,0,0,0,0,28.3,32.4,26.3,8.6,31.5,2020/10/29
2494,Changi,2020,10,30,0,0,0,0,28.5,32.4,25.4,8.3,31.5,2020/10/30
2495,Changi,2020,10,31,9.6,9,9.4,9.4,27.7,33.2,24.5,7.1,35.2,2020/10/31
2496,Changi,2020,11,1,0,0,0,0,27.9,33.4,25.1,7,25.9,2020/11/1
2497,Changi,2020,11,2,48.2,25.2,33.6,41,26.7,32.7,24,6.4,35.2,2020/11/2
2498,Changi,2020,11,3,0,0,0,0.2,27.6,30.4,25.3,5.4,20.4,2020/11/3
