,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),MeanTemperature,Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date
61,Tuas South,2014,3,3,0,0,0,0,28.2,32.8,25.4,6.2,25.2,2014-03-03
62,Tuas South,2014,3,4,0,0,0,0,27.7,31.2,24.9,7.2,26.6,2014-03-04
63,Tuas South,2014,3,5,0,0,0,0,28.2,33,25,8,27,2014-03-05
64,Tuas South,2014,3,6,0,0,0,0,28,32.5,24.2,6.5,25.6,2014-03-06
65,Tuas South,2014,3,7,0,0,0,0,28.1,32.3,24.6,7,24.8,2014-03-07
66,Tuas South,2014,3,8,0,0,0,0,28.1,33.4,25.4,7.3,23.8,2014-03-08
67,Tuas South,2014,3,9,0,0,0,0,28.2,33,24.9,8.4,25.9,2014-03-09
68,Tuas South,2014,3,10,0,0,0,0,28.3,33,25.2,8.2,25.9,2014-03-10
69,Tuas South,2014,3,11,0,0,0,0,28.5,34.3,25,8.9,27,2014-03-11
70,Tuas South,2014,3,12,0,0,0,0,28.5,33.1,25.5,9,25.9,2014-03-12
71,Tuas South,2014,3,13,0,0,0,0,28.6,32.9,25.4,7.5,22,2014-03-13
72,Tuas South,2014,3,14,0,0,0,0,29,33.1,25.8,7.8,28.1,2014-03-14
73,Tuas South,2014,3,15,0,0,0,0,29.3,33.6,26.1,5.9,32.8,2014-03-15
74,Tuas South,2014,3,16,20.6,8.4,13,16.2,26.4,28.1,24.4,5.1,24.1,2014-03-16
75,Tuas South,2014,3,17,5.6,1.8,2.8,3,26.1,28.2,25,4.6,23,2014-03-17
76,Tuas South,2014,3,18,32.6,13.8,13.8,26.2,26.2,29.6,24.5,4.7,24.8,2014-03-18
77,Tuas South,2014,3,19,57.4,30.8,42,45.4,26.1,30,23.6,5.6,38.2,2014-03-19
78,Tuas South,2014,3,20,6.8,5.2,5.8,6.6,27.1,30.8,25.2,5.9,27,2014-03-20
79,Tuas South,2014,3,21,7.4,6.4,7.4,7.4,27.3,29.5,24.8,7.1,21.6,2014-03-21
80,Tuas South,2014,3,22,0,0,0,0,27.8,31.6,25,5.8,21.2,2014-03-22
81,Tuas South,2014,3,23,0,0,0,0,28.7,34.5,24.7,6.9,24.1,2014-03-23
82,Tuas South,2014,3,24,0,0,0,0,28.6,34,25.5,6.9,25.9,2014-03-24
83,Tuas South,2014,3,25,0,0,0,0,28.6,32.8,25.6,7.7,24.8,2014-03-25
84,Tuas South,2014,3,26,6.6,6.2,6.6,6.6,28,32.6,26.1,5.8,23.8,2014-03-26
85,Tuas South,2014,3,27,5.6,5.6,5.6,5.6,28.8,32.6,25.8,6.2,22,2014-03-27
86,Tuas South,2014,3,28,0,0,0,0,29.1,33.2,26.4,4.4,22,2014-03-28
87,Tuas South,2014,3,29,0,0,0,0,28.6,32.7,26.7,4.7,22,2014-03-29
88,Tuas South,2014,3,30,0,0,0,0,29.2,32.6,26.7,4.6,22,2014-03-30
89,Tuas South,2014,3,31,0,0,0,0,28.8,33,27.2,3.6,22.7,2014-03-31
90,Tuas South,2014,4,1,2.2,1.6,2,2,28.1,31.1,25.9,5.6,26.3,2014-04-01
91,Tuas South,2014,4,2,7.8,5.8,7.8,7.8,28.5,31.2,25.5,5.8,19.1,2014-04-02
92,Tuas South,2014,4,3,0,0,0,0,29.5,34.2,27.3,5.3,25.9,2014-04-03
93,Tuas South,2014,4,4,0,0,0,0,28.1,30.8,26,6.7,18,2014-04-04
94,Tuas South,2014,4,5,23.2,12,14.6,17.2,26.9,28.7,24.2,9.4,37.8,2014-04-05
95,Tuas South,2014,4,6,0,0,0,0,29,33.2,26.1,7.2,22.3,2014-04-06
96,Tuas South,2014,4,7,0,0,0,0,29,33.2,26.3,6.9,25.9,2014-04-07
97,Tuas South,2014,4,8,0,0,0,0,28.2,31,26.4,8.9,32.8,2014-04-08
98,Tuas South,2014,4,9,0,0,0,0,28.3,31.1,25.7,7.1,27,2014-04-09
99,Tuas South,2014,4,10,10.8,10.6,10.6,10.8,27.9,31.8,24.5,5.5,29.2,2014-04-10
100,Tuas South,2014,4,11,0,0,0,0,28.5,32.1,26.5,7.6,28.1,2014-04-11
101,Tuas South,2014,4,12,4.2,4,4.2,4.2,27.5,29.6,24.3,5.1,31.7,2014-04-12
102,Tuas South,2014,4,13,5.4,4.4,5.4,5.4,28.2,31.1,25.3,6.6,28.8,2014-04-13
103,Tuas South,2014,4,14,0,0,0,0,28.6,33,26.3,5.4,26.3,2014-04-14
104,Tuas South,2014,4,15,0.4,0.4,0.4,0.4,28.5,31.7,26.5,6.7,22.7,2014-04-15
105,Tuas South,2014,4,16,0,0,0,0,28.3,30.6,26.5,6.7,24.5,2014-04-16
106,Tuas South,2014,4,17,0,0,0,0,28.8,31.2,26.8,5.1,23.8,2014-04-17
107,Tuas South,2014,4,18,0.4,0.4,0.4,0.4,28.4,30.2,26.5,5.6,37.8,2014-04-18
108,Tuas South,2014,4,19,0,0,0,0,28.9,31.7,26.1,5.2,22,2014-04-19
109,Tuas South,2014,4,20,0.8,0.8,0.8,0.8,28.2,30.3,25.6,4.4,34.6,2014-04-20
110,Tuas South,2014,4,21,2.2,1.6,2,2.2,27.2,29,26.2,6.2,42.8,2014-04-21
111,Tuas South,2014,4,22,1.4,1.2,1.4,1.4,27.8,32,25.9,5.1,25.6,2014-04-22
112,Tuas South,2014,4,23,1.4,1.2,1.4,1.4,28.4,32.1,25.8,4.7,26.6,2014-04-23
113,Tuas South,2014,4,24,7.4,7.2,7.4,7.4,28.1,31.2,25.3,5.7,29.2,2014-04-24
114,Tuas South,2014,4,25,18.2,18,18.2,18.2,28.4,31.7,25.2,6,21.2,2014-04-25
115,Tuas South,2014,4,26,0,0,0,0,28.9,31.1,27.1,5.3,23.8,2014-04-26
116,Tuas South,2014,4,27,3.8,3.4,3.8,3.8,28.3,31.5,25.2,6,41.8,2014-04-27
117,Tuas South,2014,4,28,6.8,4.4,5.6,6.4,28.8,31.1,26.2,6.8,37.1,2014-04-28
118,Tuas South,2014,4,29,0,0,0,0,28.6,30.3,27.4,6.2,31.3,2014-04-29
119,Tuas South,2014,4,30,0,0,0,0,28.8,30.7,27.2,5.6,20.2,2014-04-30
120,Tuas South,2014,5,1,0.4,0.4,0.4,0.4,28.4,30.8,25.3,7,61.2,2014-05-01
121,Tuas South,2014,5,2,0,0,0,0,30,33.4,27.7,6.5,19.8,2014-05-02
122,Tuas South,2014,5,3,2.2,1.6,2.2,2.2,29.6,33.2,27.4,4.7,23.4,2014-05-03
123,Tuas South,2014,5,4,0,0,0,0,29.2,33.5,27.1,4.1,22.7,2014-05-04
